altitude,aptarea,aptdia,bitpix,bscale,bzero,ccd-temp,date-obs,exposure,exptime,file,filter,flipstat,focallen,history,imagetyp,instrume,jd-obs,latitude,longitud,lst,mjd-obs,naxis,naxis1,naxis2,notes,objctdec,objctra,oscan,oscanax,oscanst,purged,readoutm,set-temp,simple,sitelat,sitelong,swcreate,swowner,telescop,xbinning,xorgsubf,xpixsz,ybinning,yorgsubf,ypixsz,a_0_2,a_1_1,a_2_0,a_order,airmass,alt-obj,ap_0_1,ap_0_2,ap_1_0,ap_1_1,ap_2_0,ap_order,az-obj,b_0_2,b_1_1,b_2_0,b_order,bp_0_1,bp_0_2,bp_1_0,bp_1_1,bp_2_0,bp_order,cd1_1,cd1_2,cd2_1,cd2_2,comment,crpix1,crpix2,crval1,crval2,ctype1,ctype2,cunit1,cunit2,date,dec,equinox,ha,imageh,imagew,latpole,lonpole,ra,secz,wcsaxes
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.6897645,2013-07-04T08:36:43,15.0,15.0,darks-006D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:08.783770 -----,DARK,Apogee USB/Net,2456477.85883,+46:52:00.41,-96:27:11.80,21:00:59.77,56477.358831,2,3085,2048,,+46 48 36,21 00 47,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.6897645,2013-07-04T08:35:59,30.0,30.0,darks-006D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:09.896213 -----,DARK,Apogee USB/Net,2456477.85832,+46:52:00.41,-96:27:11.80,21:00:15.64,56477.3583218,2,3085,2048,,+46 48 36,21 00 17,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.70548075,2013-07-04T08:41:46,15.0,15.0,darks-007D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:13.548800 -----,DARK,Apogee USB/Net,2456477.86234,+46:52:00.41,-96:27:11.80,21:06:03.59,56477.362338,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.71805375,2013-07-04T08:41:03,30.0,30.0,darks-007D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:14.551653 -----,DARK,Apogee USB/Net,2456477.86184,+46:52:00.41,-96:27:11.80,21:05:20.48,56477.3618403,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.6520455,2013-07-04T08:46:42,15.0,15.0,darks-008D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:18.512786 -----,DARK,Apogee USB/Net,2456477.86576,+46:52:00.41,-96:27:11.80,21:11:00.41,56477.3657639,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.633186,2013-07-04T08:45:58,30.0,30.0,darks-008D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:19.391278 -----,DARK,Apogee USB/Net,2456477.86525,+46:52:00.41,-96:27:11.80,21:10:16.28,56477.3652546,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.60804,2013-07-04T08:51:37,15.0,15.0,darks-009D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:23.336726 -----,DARK,Apogee USB/Net,2456477.86918,+46:52:00.41,-96:27:11.80,21:15:56.21,56477.3691782,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.63004275,2013-07-04T08:50:54,30.0,30.0,darks-009D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:24.374058 -----,DARK,Apogee USB/Net,2456477.86868,+46:52:00.41,-96:27:11.80,21:15:13.10,56477.3686806,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.66776175,2013-07-04T08:56:40,15.0,15.0,darks-010D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:27.963109 -----,DARK,Apogee USB/Net,2456477.87269,+46:52:00.41,-96:27:11.80,21:21:00.04,56477.3726852,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.68662125,2013-07-04T08:55:57,30.0,30.0,darks-010D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:28.967136 -----,DARK,Apogee USB/Net,2456477.87219,+46:52:00.41,-96:27:11.80,21:20:16.92,56477.3721875,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
